question,entity
공연 알려주지 않을래,O O O
단풍놀이 공연 갈래,S-TRAVEL O O
단풍놀이 공연 모두 알려주세요,S-TRAVEL O O O
시장구경 어딜 가야 잘했다 할까,S-TRAVEL O O O O
괜찮은 시장 공연 추천해 줘,O S-TRAVEL O O O
갈만한 꽃놀이 공연 구경하고 싶다,O S-TRAVEL O O O
가까운 공연 추천해 줘,O O O O
워터파크 좀 알려줘,S-TRAVEL O O
갈만한 공연 있어야 하는데,O O O O
단풍 공연 추천해 주세요,S-TRAVEL O O O
인기 좋은 등산로 없나요,O O S-TRAVEL O
어디 공연 갈거니,O O O
많이 찾는 꽃구경,O O S-TRAVEL
수영 할만한 곳 있니,S-TRAVEL O O O
축구장 공연장,S-TRAVEL O
너라면 어디 공연장 갈래,O O O O
유명한 계곡 공연장 있지,O S-TRAVEL O O
재밌는 축제 원해요,O S-TRAVEL O
갈만한 등산 공연장 추천받고 싶어요,O S-TRAVEL O O O
경기장 구경하고 싶어,S-TRAVEL O O
박물관 공연장 갈 데 없나,S-TRAVEL O O O O
공연장 몰라서 문젠데,O O O
갈만한 스키장 공연장 가보고 싶네요,O S-TRAVEL O O O
가까운 물놀이 빨리 말해요,O S-TRAVEL O O
갈만한 산 말해주세요,O S-TRAVEL O
심심한데 산책 장소 있나,O S-TRAVEL O O
가까운 등산 갈래,O S-TRAVEL O
가볍게 가볼만한 공연장 없을까,O O O O
축구 공연장 보여줘,S-TRAVEL O O
문학관 공연장 추천해 봐,S-TRAVEL O O O
꽃 핀 곳 알려줘,S-TRAVEL O O O
가까운 스키장 공연장 있나요,O S-TRAVEL O O
꽃구경 하고 싶다,S-TRAVEL O O
꽃구경 어디 가야 잘했다 할까,S-TRAVEL O O O O
가기 좋은 계곡 추천해 줘,O O S-TRAVEL O O
분위기 있는 카페,O O S-TRAVEL
경기장 어디,S-TRAVEL O
꽤 유명한 축제,O O S-TRAVEL
유명한 스키장 어디 있죠,O S-TRAVEL O O
무서운 놀이동산 있나요,O S-TRAVEL O
어디 공연장 추천할래요,O O O
문학관 공연장 궁금해,S-TRAVEL O O
갈만한 스키 여행지 말해주실래요,O S-TRAVEL O O
갈만한 스키 여행지 보여주세요,O S-TRAVEL O O
여행지 어디 있냐,O O O
가까운 단풍놀이 여행지 알려주길 바래,O S-TRAVEL O O O
여행지 몰라서 문젠데요,O O O
상쾌한 여행지,O O
인기많은 여행지,O O
시장 있나요,S-TRAVEL O
갈만한 연극 여행지 알고 싶은데요,O S-TRAVEL O O O
당구장 띄워줘요,S-TRAVEL O
가까운 수목원 어디인지 모르겠어,O S-TRAVEL O O
시장 보고 싶다고요,S-TRAVEL O O
연극 보고 싶어,S-TRAVEL O O
가까운 계곡 추천 좀 해줘 봐요,O S-TRAVEL O O O O
놀이동산 있어,S-TRAVEL O
스키장 추천해 줘,S-TRAVEL O O
좋은 수영장 알려줄래,O S-TRAVEL O
추천해 주고 싶은 꽃놀이,O O O S-TRAVEL
꽃구경 해보고 싶네,S-TRAVEL O O
여행지 띄워주겠니,O O
시간 가는줄 모르는 공연 있나요,O O O S-TRAVEL O
추천해봄직한 여행지 알려줘,O O O
꽃구경 추천받고 싶네,S-TRAVEL O O
가까운 문학관 여행지 가보는 것 어때,O S-TRAVEL O O O O
가까운 절 여행지 보여주길 바래요,O S-TRAVEL O O O
유명한 박물관 보여줘 봐,O S-TRAVEL O O
보령 근처 가볼 만한 관광지 알려줘봐요,S-LOCATION O O O O O
쳥양 근처 구경하기 좋은 구경거리 보여줘,S-LOCATION O O O O O
부여군 근처 가볼 만한 곳 없니,S-LOCATION O O O O O
미추홀구 좋은데 있니,S-LOCATION O O
연수구 가면 어디 갈까,S-LOCATION O O O
남동구 갈만한 곳 보여줘,S-LOCATION O O O
부평구 유명한 곳 어디 있니,S-LOCATION O O O O
계양구 관광지 말씀해 주세요,S-LOCATION O O O
건대 근처 유명한 곳 있니,S-LOCATION O O O O
가평 좋은 관광지 없나,S-LOCATION O O O
의정부 유명한 관광지 없나요,S-LOCATION O O O
양주 관광지 궁금해,S-LOCATION O O
중구 구경거리 어디 있냐,S-LOCATION O O O
북구 관광지 추천 해주라,S-LOCATION O O O
춘천 관광 할만 한 구경거리 추천 해주세요,S-LOCATION O O O O O O
전북 무주 갈만한 여행지 있을까,B-LOCATION E-LOCATION O O O
경상도 놀기 좋은 구경거리 어디 있니,S-LOCATION O O O O O
서울 관광할만한 구경거리 알려줘,S-LOCATION O O O
전라도 가봐야 하는 구경거리 알려줘,S-LOCATION O O O O
경기도 광주 여행지 추천해줘,B-LOCATION E-LOCATION O O
충청북도 가볼 만한 관광지 알려주세요,S-LOCATION O O O O
충청도 가기 좋은 관광지 알려줘,S-LOCATION O O O O
경상도 관광해볼 만한 관광지 어디 있냐,S-LOCATION O O O O O
서울 들려야 하는 여행지 알려줘,S-LOCATION O O O O
전북 임실 여행지 있을까,B-LOCATION E-LOCATION O O
경상북도 들려야 하는 관광지 알려주라,S-LOCATION O O O O
나주 유명한 여행장소 어디 있니,S-LOCATION O O O O
전라도 구경할만한 관광지 알려주라,S-LOCATION O O O
여름 여행지 관광지 어디 있냐,S-DATE O O O O
칠곡 유명한 구경거리 어디 있냐,S-LOCATION O O O O
경상도 들러봐야 하는 구경거리 어디 있니,S-LOCATION O O O O O
청주 꼭 들려야 하는 여행지 추천 해줘,S-LOCATION O O O O O O
안암 들러봐야 하는 관광지 알려줘,S-LOCATION O O O O
경기도 들려야 하는 관광지 알려주세요,S-LOCATION O O O O
죽전 꼭 가봐야 하는 관광지 알려주세요,S-LOCATION O O O O O
경기 안양 여행지 알려주세요,B-LOCATION E-LOCATION O O
철원 볼 만 한 구경거리 알고싶어,S-LOCATION O O O O O
충북 갈만 한 구경거리 추천 해줘,S-LOCATION O O O O O
충남 가기 좋은 관광지 어디 있니,S-LOCATION O O O O O
경상남도 구경 하기 좋은 구경거리 추천 해주라,S-LOCATION O O O O O O
강원도 가기 좋은 관광지 알려주라,S-LOCATION O O O O
경주 가까운 관광지 알려주세요,S-LOCATION O O O
진짜 꼭 들려야 하는 관광지 알려주라,O O O O O O
제주도 유명한 관광지 어디 좋을까,S-LOCATION O O O O
제주 서귀포 여행 가는데 관광지 추천,B-LOCATION E-LOCATION O O O O
밀양 여행지 갈만한 곳 없을까,S-LOCATION O O O O
아마 여행 갈 것 같은데 무주 여행지 추천,O O O O O S-LOCATION O O
나 여행 가는데 인천 진짜 좋은 여행지 없을까,O O O S-LOCATION O O O O
아마 다음 달 여행 가는데 여행지 있나,O B-DATE E-DATE O O O O
청계천 여행할만한 관광지 알려주라,S-LOCATION O O O
구로구 놀만한 구경거리 추천해 줘,S-LOCATION O O O O
강화도 볼만한 구경거리 추천해 주세요,S-LOCATION O O O O
울릉도 갈만한 관광지 알려줄래,S-LOCATION O O O
동구 유명한 관광지 알고싶어,S-LOCATION O O O
서구 놀기 좋은 관광지 추천 해주라,S-LOCATION O O O O O
파주 관광할만한 구경거리 추천 해주라,S-LOCATION O O O O
계룡 근처 한 관광지 알려줘,S-LOCATION O O O O
수원 가까운 여행지 추천 해줘,S-LOCATION O O O O
평택 들러봐야 하는 구경거리 알려주라,S-LOCATION O O O O
금천구 가기 좋은 구경거리 알려주세요,S-LOCATION O O O O
우도 가볼 만한 관광지 추천해 주라,S-LOCATION O O O O O
광명 꼭 들려야 하는 관광지 추천 해주라,S-LOCATION O O O O O O
시흥 이번 여행 어디 갈지 추천,S-LOCATION O O O O O
아마 보령 여행 갈 것 같은데 어디 갈까,O S-LOCATION O O O O O O
다음 달 아마 충남 태안 놀러 가는데 어디 갈까,B-DATE E-DATE O B-LOCATION E-LOCATION O O O O
청양 유명한 장소 어디 있니 궁금해,S-LOCATION O O O O O
공주 여행 어디 갈까,S-LOCATION O O O
포천 가면 어디 갈까,S-LOCATION O O O
이번 화천 여행 갈 것 같거든 어디 갈까,O S-LOCATION O O O O O O
서울 관광지 궁금하네 알려줘,S-LOCATION O O O
대구 관광지 알고 싶어,S-LOCATION O O O
광주 관광지 나한테 추천 해주겠니,S-LOCATION O O O O
대전 관광지 알 수 있을까,S-LOCATION O O O O
여수 유명한 놀 곳 있나,S-LOCATION O O O O
창녕 여행지 어디 좋아,S-LOCATION O O O
연천 볼만한 거 뭐 있냐,S-LOCATION O O O O
나 모레 포천 가는데 어디 갈까,O S-DATE S-LOCATION O O O
우리 내일 가평 가는데 어디 좋니,O S-DATE S-LOCATION O O O
나 이번 달 남자친구랑 놀러 가는데 어디 좋아,O B-DATE E-DATE O O O O O
우리 가을 여행 가는데 어디 갈만한 곳 없으려나,O S-DATE O O O O O O
완산구 뭐 있지 볼만한 거,S-LOCATION O O O O
인사동 진짜 좋은 곳 알려주겠니,S-LOCATION O O O O
갈만한 여행지 어디 있을까요,O O O O
모레 부산 가는데 추천해줘,S-DATE S-LOCATION O O
이번 주 여행 가는데 특히 광주 어디 갈까,B-DATE E-DATE O O O S-LOCATION O O
양구 괜찮은 곳 있니,S-LOCATION O O O
양양 이번 가는데 여행지 어디 추천할래,S-LOCATION O O O O O
나 모레 포천 가는데 괜찬은 곳 있냐,O S-DATE S-LOCATION O O O O
내일 아마 울진 가거든 어디 좋니,S-DATE O S-LOCATION O O O
문산 갈만한 곳 보여줘,S-LOCATION O O O
경상남도 유명한 곳 어디 있니 내일 여행 가거든,S-LOCATION O O O O S-DATE O O
아마 나 모레 여행 갈듯 한데 대덕 어디 갈까,O O S-DATE O O O S-LOCATION O O
송파구 놀만한 구경거리 어디 있니,S-LOCATION O O O O
성동구 들러봐야 하는 구경거리 추천 해주라,S-LOCATION O O O O O
양천구 볼만한 구경거리 알고싶어,S-LOCATION O O O
동대문 꼭 들려야 하는 관광지 있을까 내일 가기 했거든,S-LOCATION O O O O O S-DATE O O
남서울 진짜 좋은 명소 추천 좀 해줘,S-LOCATION O O O O O O
강북구 꼭 들려야 하는 관광지 알려줄래,S-LOCATION O O O O O
중구 볼만한 관광지 알려주라,S-LOCATION O O O
오랜만 광주 여행한다 어디 갈지 말해줘,O S-LOCATION O O O O
간만 여행 가는데 인천 갈 것 같거든 관광지 추천 좀,O O O S-LOCATION O O O O O O
양천 구경 할만한 명소 알려줄래,S-LOCATION O O O O
종로 가기 좋은 명소 알려주세요,S-LOCATION O O O O
금천구 들려야 하는 명소 추천 해주라,S-LOCATION O O O O O
홍대 근처 구경하기 좋은 관광지 추천 해주라,S-LOCATION O O O O O O
이대 근처 구경하기 좋은 명소 알고싶어,S-LOCATION O O O O O
건대 꼭 들려야 하는 관광지 알려줘,S-LOCATION O O O O O
종로구 놀만한 관광지 어디 있냐,S-LOCATION O O O O
평창 관광할만한 명소 알려줘,S-LOCATION O O O
완주 가까운 관광지 알려주라,S-LOCATION O O O
여름 진천 관광지 어디 좋니,S-DATE S-LOCATION O O O
모레 명소 추천 해주라,S-DATE O O O
내일모레 목포 가는데 관광지 알려줘,S-DATE S-LOCATION O O O
아마 여행 갈 거 같으니까 관광지 추천,O O O O O O O
나 친구랑 모레 놀러 가는데 서울 관광지 어디 추천,O O S-DATE O O S-LOCATION O O O
근데 진짜 좋은 관광지 없을까,O O O O O
그 때 갔던 관광지 추천,O O O O O
가을 친구랑 아마 놀러 가는데 부산 관광지 어디 추천,S-DATE O O O O S-LOCATION O O O
봄 진짜 좋은 관광지 없을까,S-DATE O O O O
강원도 갈만한 관광지 추천,S-LOCATION O O O
영덕 명소 어디 있니,S-LOCATION O O O
겨울 관광지 알려줄래,S-DATE O O
서산 명소 추천 해주세요,S-LOCATION O O O
서천 소문난 명소 알려줘,S-LOCATION O O O
이번 관광지 알려주라,O O O
오늘 명소 알려줄래,S-DATE O O
모레 명소 추천 해줘,S-DATE O O O
가을 관광지 알려주라,S-DATE O O
봄 관광지 추천 해주라,S-DATE O O O
여름 강남 명소 알려줘,S-DATE S-LOCATION O O
가을 명소 추천 해주세요,S-DATE O O O
겨울 관광지 추천 해줘,S-DATE O O O
1월 관광지 어디 있냐,S-DATE O O O
2월 진천 관광지 어디 좋니,S-DATE S-LOCATION O O O
3월 명소 추천 해주라,S-DATE O O O
4월 목포 가는데 관광지 알려줘,S-DATE S-LOCATION O O O
5월 관광지 어디 있냐,S-DATE O O O
6월 오산 관광지 어디 좋니,S-DATE S-LOCATION O O O
7월 좋은 곳 추천 해줘,S-DATE O O O O
8월 관광지 어디 있을까요,S-DATE O O O
9월 부산 가는데 추천해줘,S-DATE S-LOCATION O O
10월 여행 어디 갈까,S-DATE O O O
11월 영광 제일 유명한 명소 알려줄래,S-DATE S-LOCATION O O O O
12월 어디 여행 명소 추천해줘,S-DATE O O O O
영월 주변 진짜 유명한 명소 있을까,S-LOCATION O O O O O
1월 2일 명소 추천,B-DATE E-DATE O O
2월 8일 관광 명소 추천해줘,B-DATE E-DATE O O O
3월 16일 어디 갈까,B-DATE E-DATE O O
4월 24일 제일 유명한 명소 알려줄래,B-DATE E-DATE O O O O
5월 3일 여행 장소 추천해줘,B-DATE E-DATE O O O
6월 9일 진짜 유명한 명소 있을까,B-DATE E-DATE O O O O
짭짤한 빵 맛집 알려줘,S-LOCATION S-RESTAURANT O O
인기 많은 팥빵 빵집 추천 좀 해줄래,O O S-RESTAURANT O O O O
매콤한 숙주 볶음 알려줘,O B-RESTAURANT E-RESTAURANT O
매운 떡뽁이 맛집 가볼까,O S-RESTAURANT O O
달콤한 브라우니 먹고싶어,O S-RESTAURANT O
괜찮은 마카롱 먹고싶어 배고파,O S-RESTAURANT O O
괜찮은 달달한 브런치 카페 추천 좀,O O S-RESTAURANT O O O
대천 괜찮은 밀면 코스요리 알려주겠니,S-LOCATION O S-RESTAURANT O O
창원 티비 나왔던 코스요리 추천,S-LOCATION O O O O
강원도 텔레비전 나왔었던 칼국수 코스요리 어디더라,S-LOCATION O O S-RESTAURANT O O
광주 요즘 괜찮은 바베큐 먹고싶어 배고파,S-LOCATION O O S-RESTAURANT O O
대구 주변 태국 음식 원조 식당 어디,S-LOCATION O S-RESTAURANT O O O O
서울 베트남 음식 먹고싶어 배고파,S-LOCATION S-RESTAURANT O O O
대전 인기 많은 돈가스 코스요리 어디니,S-LOCATION O O S-RESTAURANT O O
유명한 창원 브라우니 카페,O S-LOCATION S-RESTAURANT O
마카롱 카페 달콤한 머랭쿠키,S-RESTAURANT O O S-RESTAURANT
마라탕 진짜 잘하는 곳 어디 있어,S-RESTAURANT O O O O O
한식 무한리필 알려줘,S-RESTAURANT O O
백반집 원조 식당 어디니,S-RESTAURANT O O O
양식 먹고 싶은데 무한리필 있니,S-RESTAURANT O O O O
매콤한 매운탕 무한리필 알려줘,O S-RESTAURANT O O
만두 무한리필 알려줘,S-RESTAURANT O O
찐빵 무한리필 알려주세요,S-RESTAURANT O O
짬뽕 무한리필 알려주세요,S-RESTAURANT O O
초밥 진짜 잘하는 곳 어디 맛있니,S-RESTAURANT O O O O O
국밥집 어디,S-RESTAURANT O
국밥 먹고싶어,S-RESTAURANT O
뜨끈하고 든든하게 국밥 먹고싶어,O O S-RESTAURANT O
감자탕 먹고싶어,S-RESTAURANT O
라면 식당 어디,S-RESTAURANT O O
라멘 원조 식당 추천 좀 해줘,S-RESTAURANT O O O O O
일식집 알려줄래,S-RESTAURANT O
동두천 스테이크 무한리필 어디,S-LOCATION S-RESTAURANT O O
매콤한 스테이크 무한리필 가볼까,O S-RESTAURANT O O
강남 함박 스테이크 무한리필 원조 식당 먹을까,S-LOCATION B-RESTAURANT E-RESTAURANT O O O O
알리오 올리오 강남구 무한리필 먹을까,B-RESTAURANT E-RESTAURANT S-LOCATION O O
창녕 파스타 무한리필 추천해주겠니,S-LOCATION S-RESTAURANT O O
밀양 매콤한 파스타 인심 후한 곳 있니,S-LOCATION O S-RESTAURANT O O O O
임실 족발 무한리필 먹을까,S-LOCATION S-RESTAURANT O O
익산 양식집 무한리필 추천 해줄래,S-LOCATION S-RESTAURANT O O O
군산 일식집 무한리필 초밥 추천해줘,S-LOCATION S-RESTAURANT O S-RESTAURANT O
스테이크 무한리필 먹을까,S-RESTAURANT O O
매콤한 스테이크 무한리필 가볼까,O S-RESTAURANT O O
무한리필 원조 식당 먹을까,O O O O
알리오 올리오 푸드 먹을까,B-RESTAURANT E-RESTAURANT O O
파스타 푸드 추천해주겠니,S-RESTAURANT O O
매운 파스타 인심 후한 곳 있니,O S-RESTAURANT O O O O
족발 푸드 먹을까,S-RESTAURANT O O
양식집 식당 추천 해줄래,S-RESTAURANT O O O
일식집 푸드 초밥 추천해줘,S-RESTAURANT O S-RESTAURANT O
분식집 떡볶이 푸드 먹을까,B-RESTAURANT E-RESTAURANT O O
돈까스 먹고싶다,S-RESTAURANT O
중식 푸드 먹을까,S-RESTAURANT O O
주변 케익 빵집 추천해줘,O S-RESTAURANT O O
분식 푸드 먹을까,S-RESTAURANT O O
갈메기 마포구 푸드,S-RESTAURANT S-LOCATION O
강동 푸드 가볼까,S-LOCATION O O
마포 갈메기 푸드 무한리필,S-LOCATION S-RESTAURANT O O
중랑구 아구찜 푸드 알려주세요,S-LOCATION S-RESTAURANT O O
브런치 푸드 알려주세요,S-RESTAURANT O O
백종원 음식점 어디 있어,S-RESTAURANT O O O
노원구 브런치 푸드 알려주세요,S-LOCATION S-RESTAURANT O O
이태원 짬뽕집 식당 음식점,S-LOCATION S-RESTAURANT O O
식당 푸드 먹어,O O O
골목식당 푸드 먹어,O O O
짜장면 잘하는 푸드 어디지,S-RESTAURANT O O O
주변 연어초밥집 먹어,O S-RESTAURANT O
연어 무한리필 푸드 알려줄래,S-RESTAURANT O O O
광어 회 먹고싶어,B-RESTAURANT E-RESTAURANT O
주변 술집 추천해줘,O S-RESTAURANT O
맥주 먹고싶어,S-RESTAURANT O
떡볶이 가게 추천,S-RESTAURANT O O
사람 많은 맥주 술집 추천해줘,O O S-RESTAURANT O O
광어 초밥 추천해줄래,B-RESTAURANT E-RESTAURANT O
삼겹살 푸드 알려주세요,S-RESTAURANT O O
국수 식당 추천해주세요,S-RESTAURANT O O
고기국수 잘하는 식당 알려줄래요,S-RESTAURANT O O O
갈비집 추천해줘요,S-RESTAURANT O
삼겹살 인심 후한 곳 알려주세요,S-RESTAURANT O O O O
매운 국수 식당 알려주세요,O S-RESTAURANT O O
스파게티 먹고싶어요,S-RESTAURANT O
국수 먹고싶어요,S-RESTAURANT O
사람 많은 순대 식당 떡볶이 식당,O O S-RESTAURANT O S-RESTAURANT O
스파게티 식당 추천해줘요,S-RESTAURANT O O
티본 스테이크 식당 먹어,O S-RESTAURANT O O
바비큐 식당 가볼까,S-RESTAURANT O O
매운 바베큐 식당 먹어,O S-RESTAURANT O O
유명한 태국 음식 원조 식당 먹어,O B-RESTAURANT E-RESTAURANT O O O
베트남 음식 식당 먹어,B-RESTAURANT E-RESTAURANT O O
돈가스 식당 어딜까,S-RESTAURANT O O
소고기 음식 원조 식당 먹어,S-RESTAURANT O O O O
진짜 유명한 비빔밥 잘하는 식당 어디니,O O S-RESTAURANT O O O
제육 볶음 원조 식당 먹어,B-RESTAURANT E-RESTAURANT O O O
면 음식 잘하는 식당 갈까,S-RESTAURANT O O O O
매운 불고기 식당 추천 좀,O S-RESTAURANT O O O
베트남 음식점 먹어,S-RESTAURANT O O
음식점 맛 좋은 곳 먹어,O O O O O
마카롱 가게 먹어,S-RESTAURANT O O
달달한 브런치 카페 추천 좀,O S-RESTAURANT O O O
밀면 가게 어딜까,S-RESTAURANT O O
냉모밀 잘하는 식당 주변 있니,S-RESTAURANT O O O O
비빔냉면 식당 추천해줘,S-RESTAURANT O O
시원한 물냉면 먹고싶어,O S-RESTAURANT O
곱창 레스토랑 알려줘,S-RESTAURANT O O
시원한 맥주 잘하는 레스토랑 어디니,O S-RESTAURANT O O O
옥수수 레스토랑 알려줘,S-RESTAURANT O O
대창 레스토랑 추천해줄래,S-RESTAURANT O O
양대창 먹고싶네,S-RESTAURANT O
물냉면 레스토랑 추천해줘,S-RESTAURANT O O
돼지 국밥 추천해줘,B-RESTAURANT E-RESTAURANT O
콩나물 국밥 먹고싶은데 레스토랑 있니,B-RESTAURANT E-RESTAURANT O O O
타코 가게 알려줘,S-RESTAURANT O O
순대 국밥 잘하는 밥집 있니,B-RESTAURANT E-RESTAURANT O O O
인도음식 어딜까,S-RESTAURANT O
밀면 먹을까,S-RESTAURANT O
쫄면 먹을까 알려줘,S-RESTAURANT O O
오리 고기 먹을까 추천해줘,B-RESTAURANT E-RESTAURANT O O
꽃게탕 먹어 어디니,S-RESTAURANT O O
근처 짜글이 가게 알려줘,O S-RESTAURANT O O
돼지고기 짜글이 알려줘,B-RESTAURANT E-RESTAURANT O
타코야끼 먹어 알려줘,S-RESTAURANT O O
샌드위치 잘하는 먹어 어디니,S-RESTAURANT O O O
유명한 밀면 먹어,O S-RESTAURANT O
유명한 쫄면 길거리 알려줘,O S-RESTAURANT O O
유명한 오리 고기 길거리 추천해줘,O B-RESTAURANT E-RESTAURANT O O
유명한 꽃게탕 길거리 어디니,O S-RESTAURANT O O
유명한 근처 짜글이 길거리 알려줘,O O S-RESTAURANT O O
유명한 돼지고기 짜글이 어딜까,O B-RESTAURANT E-RESTAURANT O
유명한 타코야끼 길거리 알려줘,O S-RESTAURANT O O
유명한 샌드위치 잘하는 길거리 어디니,O S-RESTAURANT O O O
냉채 길거리 알려줘,S-RESTAURANT O O
냉채 족발 주변 있니,B-RESTAURANT E-RESTAURANT O O
주변 카레 불고기 가게 알려줘,O B-RESTAURANT E-RESTAURANT O O
유명한 거리 어디지,O O O
인기 많은 거리 추천해줘,O O O O
괜찮은 근처 불고기 거리 추천 좀,O O S-RESTAURANT O O O
괜찮은 베트남 음식점 알려줘,O S-RESTAURANT O O
괜찮은 음식점 맛 좋은 곳 알려줘,O O O O O O
최고 맛있는 베트남 음식점 알려줘,O O S-RESTAURANT O O
진짜 좋은 음식점 맛 좋은 곳 어딜까,O O O O O O O
맛 좋은 음식점 거리 알려줘,O O O O O
괜찮은 마카롱 거리 알려줘,O S-RESTAURANT O O
