question|entity
서울 꽃구경 가고 싶다고|LOCATION PURPOSE O O 
인천 바다 보러 갈거 같아|PURPOSE O O O 
어느 여행지 좋을까|O O O 
부산 야구장 여행지 알고 싶어|LOCATION PURPOSE O O O 
갈만한 대구 스키 여행지 추천해 주세요|O LOCATION PURPOSE O O O 
광주 꽃구경 가고 싶다고요|LOCATION PURPOSE O O 
울산 수목원 알려줘 봐요|LOCATION PURPOSE O O 
여행지 있는지 모르겠네요|O O O 
인천 워터파크 개장한 곳 있어|LOCATION PURPOSE O O O 
어디 여행지 가겠냐|O O O 
파주 유명한 공연장 알려줘|LOCATION O PURPOSE O 
창원 여행 갈만한 바다|LOCATION O O PURPOSE 
평택 갈만한 스키장 여행 해보고 싶네|LOCATION O PURPOSE O O O 
제주도 템플스테이 여행 갈 데 추천해 줘|LOCATION PURPOSE O O O O O 
전주 가까운 바다 여행지 보여줘 봐요|LOCATION O PURPOSE O O O 
용인 가까운 축구장 어딨어|LOCATION O PURPOSE O 
붐비는 여행지|O O 
청주 가을 풍경 예쁜 산 가보고 싶어|LOCATION DATE O O PURPOSE O O 
안산 다시 오고 싶은 템플스테이|LOCATION O O O PURPOSE 
시흥 가까운 물놀이 알려 좀 줘봐요|LOCATION O PURPOSE O O O 
춘천 동물원 여행지 알려주라|LOCATION PURPOSE O O 
목포 꽃놀이 어디 가는게 좋을까|LOCATION PURPOSE O O O 
대산면 가까운 사찰 여행지 추천해 줬으면 해요|LOCATION O PURPOSE O O O O 
강남구 미술관 여행지 알려줘|LOCATION PURPOSE O O 
강동구 경기장 구경 갈래|LOCATION PURPOSE O O 
강북구 볼링장 가고 싶네요|LOCATION PURPOSE O O 
강서구 가까운 문학관 여행지 어디 가야 할까|LOCATION O PURPOSE O O O O 
관악구 갈만한 단풍놀이 추천받고 싶은데요|LOCATION O PURPOSE O O 
혹시 광진구 전시관 갈만한 데 어디니|O LOCATION PURPOSE O O O 
구로구 가까운 템플스테이 여행지 원해요|LOCATION O PURPOSE O O 
금천구 꽃구경 위치 알려줘|LOCATION PURPOSE O O 
노원구 가까운 절 여행지 알려주면 좋겠어요|LOCATION O PURPOSE O O O 
도봉구 박물관 갈만한 곳 추천해 줘|LOCATION PURPOSE O O O O 
동대문구 놀이공원 알고 싶다고요|LOCATION PURPOSE O O 
동작구 계곡 가고 싶은데 알려줄래|LOCATION PURPOSE O O O 
여행지 보고 싶다고|O O O 
서대문구 놀이동산 괜찮을까요|LOCATION PURPOSE O 
서초구 유명한 등산 관광지 추천해 주세요|LOCATION O PURPOSE O O O 
성동구 주변 갈만한 계곡 어디야|LOCATION O O PURPOSE O 
성북구 수목원 가고 싶어|LOCATION PURPOSE O O 
송파구 가까운 축구 여행지 조사|LOCATION O PURPOSE O O 
양천구 유명한 전시관 알려줘 봐요|LOCATION O PURPOSE O O 
영등포구 속 뻥 뚫리는 산책로|LOCATION O O O PURPOSE 
광명구 물놀이 하고 싶어|LOCATION PURPOSE O O 
은평구 유명한 산 여행지 어디 있니|LOCATION O PURPOSE O O O 
종로구 가족끼리 계곡 여행|LOCATION O PURPOSE O 
중구 축구장 어디|LOCATION PURPOSE O 
중랑구 템플스테이 여행지 추천해 줘|LOCATION PURPOSE O O O 
부산 서구 템플스테이 추천 필요해|LOCATION LOCATION PURPOSE O O 
서울 동구 꽃구경 할만한 곳 어디야|LOCATION LOCATION PURPOSE O O 
영도구 계곡 보고 싶은데 추천해 줘|LOCATION PURPOSE O O O O 
부산진구 시원한 여름 축제|LOCATION O DATE PURPOSE 
동래구 유명한 꽃구경 축제 보고 싶어|LOCATION O PURPOSE PURPOSE O O 
성산읍 수목원 추천해 봐요|LOCATION PURPOSE O O 
북구 산 여행지 좀 알려줘|LOCATION PURPOSE O O O 
부산 해운대 유명한 박물관 있냐|LOCATION LOCATION O PURPOSE O 
구좌읍 벚꽃 핀 곳 있니|LOCATION PURPOSE O O O 
금정구 꽃놀이 어디서 하는지 알려줘|LOCATION PURPOSE O O O 
연제구 여름 풍경 예쁜 산 알고 있니|LOCATION DATE O O PURPOSE O O 
수영구 전시관 여행지 추천해 줄 수 있어|LOCATION PURPOSE O O O O O 
사상구 갈만한 바다 여행지 있나|LOCATION O PURPOSE O O 
기장구 축구장 여행지 뭐 있냐|LOCATION PURPOSE O O O 
미추홀구 3월 축제 추천해 주지 않을래|LOCATION DATE PURPOSE O O O 
여행지 정보|O O 
남동구 유명한 미술관 추천해 봐|LOCATION O PURPOSE O O 
부평구 가까운 놀이공원 원해요|LOCATION O PURPOSE O 
계양구 갈만한 야구 여행지 알려주세요|LOCATION O PURPOSE O O 
여행지 띄워줘|O O 
괜찮은 달서구 봄 축제 있는지 알려줘|O LOCATION DATE PURPOSE O O 
여행지 띄워줄래|O O 
건대 근처 쉼터 있니 알려줘|LOCATION O PURPOSE O O 
신촌 가까운 야구장 어디 있어|LOCATION O PURPOSE O O 
이태원 유명한 꽃구경 축제 알려줘|LOCATION O PURPOSE PURPOSE O 
강남역 가까운 바다|LOCATION O PURPOSE 
신논현역 계곡 가고 싶네|LOCATION PURPOSE O O 
강남 가로수길 갈만한 산 없나요|LOCATION LOCATION O PURPOSE O 
인사동 갈만한 워터파크 추천해 줘|LOCATION O PURPOSE O O 
효자동 인기 있는 스키 여행지 추천해줘|LOCATION O O PURPOSE O O 
완산구 갈만한 단풍 여행지 보고싶어요|LOCATION O PURPOSE O O 
덕진구 스키장 개장한 곳 있지 않아|LOCATION PURPOSE O O O O 
전라도 광주 미술관 여행지 부탁해|LOCATION LOCATION PURPOSE O O 
서울 유명한 꽃놀이 정보|LOCATION O PURPOSE O 
서울 가까운 바다 여행지 추천해 봐|LOCATION O PURPOSE O O O 
부산 야구장 여행지|LOCATION PURPOSE O 
한림읍 유명한 축구 여행지 보여줘 봐|LOCATION O PURPOSE O O O 
생비량면 갈만한 단풍 축제 구경하고 싶은데요|LOCATION O PURPOSE PURPOSE O O 
미천면 갈만한 단풍 여행지 추천받고 싶어요|LOCATION O PURPOSE O O O 
갈법한 외서면 1월 축제 보여줘|O LOCATION DATE PURPOSE O 
장안면 혹시 식물원 여행지 추천해 줄 수 있어|LOCATION O PURPOSE O O O O O 
울릉도 가볼만한 계곡 알려주세요|LOCATION O PURPOSE O 
연천 계곡 추천 받고 싶다|LOCATION PURPOSE O O O 
동두천 가까운 식물원 어디로 가야 하지요|LOCATION O PURPOSE O O O 
포천 등산 여행지 알려줘|LOCATION PURPOSE O O 
가평 시설 좋은 경기장 알려주세요|LOCATION O O PURPOSE O 
여행 가려는데 의정부 식물원 여행지 추천해 줘|O O LOCATION PURPOSE O O O 
양주 인기 많은 계곡 알려주세요|LOCATION O O PURPOSE O 
광주 12월 축제 갈 거에요|LOCATION DATE PURPOSE O O 
현내면 해수욕장 보고 싶네|LOCATION PURPOSE O O 
안양 가까운 계곡 추천 좀 해봐요|LOCATION O PURPOSE O O O 
의왕 추천해 주고픈 꽃구경|LOCATION O O PURPOSE 
가볼만한 안산 워터파크 있어|O LOCATION PURPOSE O 
물놀이 하고 싶은데 현남면 갈만한 데 있어|PURPOSE O O LOCATION O O O 
경기도 화성 소풍 가는거 어때|LOCATION LOCATION PURPOSE O O 
오산 축구장 어디 있을까|LOCATION PURPOSE O O 
현북면 문학관 여행지 알려줘 봐|LOCATION PURPOSE O O O 
당진 가까운 단풍놀이 여행지 알려줬으면 해|LOCATION O PURPOSE O O O 
쉬고 싶은데 갈만한 천안 여행지 어디로 갈까|O O O LOCATION O O O 
아산 식물원 보여줘 봐요|LOCATION PURPOSE O O 
태안 벚꽃 보고 싶다|LOCATION PURPOSE O O 
홍성 놀이공원 보고 싶네요|LOCATION PURPOSE O O 
예산 유명한 사찰 여행지 원해|LOCATION O PURPOSE O O 
보령 가까운 동물원 여행지 어디 가야 할지 모르겠어|LOCATION O PURPOSE O O O O O 
청양 유명한 축구장|LOCATION O PURPOSE 
부여 수목원 여행지 가고 싶어|LOCATION PURPOSE O O O 
공주 소풍 가고 싶어|LOCATION PURPOSE O O 
스트레스 풀고 싶은데 논산 운동 장소 없나|O O O LOCATION PURPOSE O O 
서천 박물관 알려줘|LOCATION PURPOSE O 
군산 꽃구경 원해요|LOCATION PURPOSE O 
추운데 익산 스키장 어때|O LOCATION PURPOSE O 
김제 꽃 보고 싶은데 식물원 알려줘|LOCATION O O O PURPOSE O 
사랑 받는 부안 산책로|O O LOCATION PURPOSE 
완주 갈만한 깨끗한 바다 있는가|LOCATION O O PURPOSE O 
영광 사찰 알고 싶다고|LOCATION PURPOSE O O 
장성 바다 있지|LOCATION PURPOSE O 
담양 벚꽃 여행지 띄워주세요|LOCATION PURPOSE O 
전북 순창 유명한 가을 축제 여행지 알려줘 봐요|LOCATION LOCATION O DATE PURPOSE O O O 
신안 등산 갈 거에요|LOCATION PURPOSE O O 
광주 전시관 추천 좀 해줘|LOCATION PURPOSE O O O 
영암 물놀이 여행 어디 갈까|LOCATION PURPOSE O O O 
장흥 문학관 여행지 보여줘 봐요|LOCATION PURPOSE O O O 
강진 넓은 경기장 알려주세요|LOCATION O PURPOSE O 
해남 7월 축제 가고 싶어|LOCATION DATE PURPOSE O O 
진도 등산 갈거야|LOCATION PURPOSE O 
완도 겨울 축제 추천해 줘라|LOCATION DATE PURPOSE O O 
고흥 주변 축제 있니|LOCATION O PURPOSE O 
거금도 넓은 방있는 호텔|LOCATION O O PURPOSE 
여수 물놀이 하고 싶어|LOCATION PURPOSE O O 
순천 가까운 스키 여행지 어디에요|LOCATION O PURPOSE O O 
화순 가까운 놀이동산 여행지 부탁드립니다|LOCATION O PURPOSE O O 
놀기 좋은 보성 계곡|O O LOCATION PURPOSE 
나주 갈만한 등산 여행지 가보고 싶네요|LOCATION O PURPOSE O O O 
남해 가까운 바다 여행지|LOCATION O PURPOSE O 
동검도 바다 있죠|LOCATION PURPOSE O 
광양 템플스테이 장소 추천해 줘|LOCATION PURPOSE O O O 
호남 7월 축제 알려달라고요|LOCATION DATE PURPOSE O 
구례 유명한 축구 여행지 알려줘 봐|LOCATION O PURPOSE O O O 
바다 보고 싶은데 곡성 어때|PURPOSE O O LOCATION O 
통영 소문난 산책로|LOCATION O PURPOSE 
거제 좋은 계곡 알고 있니|LOCATION O PURPOSE O O 
많이 가는 함안 여행지|O O LOCATION O 
유명한 의령 미술관 보여줘 봐요|O LOCATION PURPOSE O O 
산청 가까운 산 여행지 어디야|LOCATION O PURPOSE O O 
합천 단풍 여행지 말해줘|LOCATION PURPOSE O O 
창녕 11월 축제 추천 좀 부탁할게요|LOCATION DATE PURPOSE O O O 
밀양 바다 여행지 추천해 줘|LOCATION PURPOSE O O O 
기장 겨울 풍경 예쁜 산 알려줘|LOCATION DATE O O PURPOSE O 
울주 주목받는 축제|LOCATION O PURPOSE 
경주 가까운 바다 궁금해|LOCATION O PURPOSE O 
영덕 축제 있는지 좀 알려주세요|LOCATION PURPOSE O O 
영양 유명한 축제 알려줘 봐|LOCATION O PURPOSE O O 
안동 유명한 전시관 추천해 봐요|LOCATION O PURPOSE O O 
의성 놀이공원 있어요|LOCATION PURPOSE O 
청송 유명한 야구 여행지 추천해 봐요|LOCATION O PURPOSE O O O 
울진 단풍놀이 여행지 추천해 줬으면 해|LOCATION PURPOSE O O O O 
영월 화려한 축제|LOCATION O PURPOSE 
평창 가까운 등산 여행지 원해|LOCATION O PURPOSE O O 
잠깐 다녀올 수 있는 여행지 알려줘|O O O O O O 
동해 유명한 깨끗한 바다 여행지|LOCATION O O PURPOSE O 
서울 단풍놀이 가고 싶어요|LOCATION PURPOSE O O 
태백 축제 몇 가지 알려줘|LOCATION PURPOSE O O O 
속초 대포항 가까운 놀이공원 어디야|LOCATION LOCATION O PURPOSE O 
속초 단풍 축제 읊어봐|LOCATION PURPOSE PURPOSE O 
양구 깨끗한 바다 여행지 알려줄래|LOCATION O PURPOSE O O 
칠곡면 스키 타고 싶은데 스키장 추천해 줘|LOCATION O O O PURPOSE O O 
휴전면 축구장 어디 있냐|LOCATION PURPOSE O O 
더워서 화천 계곡 가보고 싶은데요|O LOCATION PURPOSE O O 
강원 오봉산 가을 단풍놀이 할래|LOCATION PURPOSE DATE PURPOSE O 
놀고 싶은데 즐길만한 여행지 있을까|O O O O O 
춘천 유명한 야구장 가볼래|LOCATION O PURPOSE O 
철원 갈만한 스키장 여행지 가보고 싶네|LOCATION O PURPOSE O O O 
명성 축제 띄워주었으면 좋겠어요|LOCATION PURPOSE O O 
백운 경기장 알려주지 않을래|LOCATION PURPOSE O O 
어디 여행지 추천할래|O O O 
구룡포 등산로 띄워주었음 좋겠어요|LOCATION PURPOSE O O 
모가면 문학관 추천해 줘|LOCATION PURPOSE O O 
설성면 괜찮은 등산로 있는지 모르겠는데 해결 좀 해줘|LOCATION O PURPOSE O O O O O 
연제구 민속놀이 배우고 싶어|LOCATION PURPOSE O O 
수영구 알법한 축제 알려줘|LOCATION O PURPOSE O O 
사상구 유명한 꽃구경 정보 알고 싶어|LOCATION O PURPOSE O O O 
기장구 가족끼리 계곡 여행 가고 싶어|LOCATION O PURPOSE O O O 
미추홀구 취사 가능한 산림|LOCATION O O PURPOSE 
서울 테마공원 있는지 모르겠어|LOCATION PURPOSE O O 
남동구 가까운 바다 있으면 말해줘|LOCATION O PURPOSE O O 
부평구 갈만한 절 있을까요|LOCATION O PURPOSE O 
계양구 어른 좋아하는 축제|LOCATION O O PURPOSE 
수성구 가까운 물놀이 빨리 말해|LOCATION O PURPOSE O O 
달서구 바다 여행지 어디 있을까|LOCATION PURPOSE O O O 
증평읍 축구 여행|LOCATION PURPOSE O 
미타사 가까운 산 여행지 어디니|LOCATION O PURPOSE O O 
운동하고 싶은데 세종특별시 탁구장 추천해 줘|O O LOCATION PURPOSE O O 
여행지 어때요|O O 
여행지 어디로 가면 좋을까요|O O O O 
가까운 바다 여행지 있어요|O PURPOSE O O 
유명한 꽃놀이 정보 알려주세요|O PURPOSE O O 
유명한 수목원 여행지 있어|O PURPOSE O O 
추천할만한 축구 여행지 있어|O PURPOSE O O 
여행지 몰라서 문제네요|O O O 
경기장 알려주지 않겠니|PURPOSE O O 
유명한 스키장 어디 있어요|O PURPOSE O O 
가까운 등산 여행지 볼래|O PURPOSE O O 
꽃구경 보여주지 않을래|PURPOSE O O 
전시관 좀 알려줘|PURPOSE O O 
갈만한 깨끗한 바다 여행지 있나요|O O PURPOSE O O 
넓은 경기장 추천해 줘|O PURPOSE O O 
여름 갈만한 여행지 알려주세요|DATE O O O 
문학관 여행지 알려줄 수 있어|PURPOSE O O O O 
템플스테이 조사하고 싶네|PURPOSE O O 
여행지 있지 않을까|O O O 
어디 축제 좋겠어|O PURPOSE O 
깨끗한 계곡 말해줘|O PURPOSE O 
여행지 보고 싶다고요|O O O 
혹시 동물원 여행지 알려줄 수 있을까|O PURPOSE O O O O 
주변 꽃 핀 공원 있으면 알려줘|O PURPOSE O PURPOSE O O 
여행지 가보고 싶은데|O O O 
가까운 바다 여행지 알려줘 봐요|O PURPOSE O O O 
가까운 식물원 여행지 어디로 가야 할지를 모르겠어|O PURPOSE O O O O O 
유명한 등산 여행지 추천 부탁한다|O PURPOSE O O O 
꽃 축제 열리는 곳 알려줘|PURPOSE PURPOSE O O O 
꽃놀이 있을지 고민이네|PURPOSE O O 
전시관 여행지 보여줘 봐|PURPOSE O O O 
계곡 있나요|PURPOSE O 
꽃구경 둘이서 하고 싶어|PURPOSE O O O 
물놀이 할만한 곳 있을까|PURPOSE O O O 
가까운 수목원 위치 모르겠어|O PURPOSE O O 
유명한 계곡 여행지 있죠|O PURPOSE O O 
어디 여행지 갈 건가요|O O O O 
넓은 풋살장 있는지 모르겠어요|O PURPOSE O O 
여행지 추천해 달라고|O O O 
박물관 있니|PURPOSE O 
유명한 바다 여행지 알려줘|O PURPOSE O O 
여행지 없을까요|O O 
여름 여행지 알려줘|DATE PURPOSE O 
추천하는 여행지|O O 
괜찮은 꽃구경 있을지 고민되네|O PURPOSE O O 
가까운 바다 여행지 있지|O PURPOSE O O 
가까운 꽃놀이 여행지 볼래요|O PURPOSE O O 
더운데 워터파크 갈까|O PURPOSE O 
계곡 괜찮은가|PURPOSE O 
유명한 야구장 여행지 추천해 줘요|O PURPOSE O O O 
갈만한 절 여행지 추천해 줘|O PURPOSE O O O 
바다 관련된 여행지 좀 보여줘|PURPOSE O O O O 
갈만한 여행지 있어|O O O 
갈만한 산 있어요|O PURPOSE O 
식물원 추천해|PURPOSE O 
수목원 여행지 알고 싶어|PURPOSE O O O 
유명한 깨끗한 바다 여행지 어디 있냐|O O PURPOSE O O O 
단풍놀이 여행지 추천해 줘|PURPOSE O O O 
수영장 어디야|PURPOSE O 
바다 여행지 있어|PURPOSE O O 
야구 여행지 갈만한 곳 추천해 줘|PURPOSE O O O O O 
유명한 산 여행지 알고 싶어|O PURPOSE O O O 
계곡 가고 싶어|PURPOSE O O 
놀이동산 여행지 있죠|PURPOSE O O 
가까운 단풍 여행지 알려주면 좋겠어|O PURPOSE O O O 
여행지 있을까|O O 
꽃놀이 추천받고 싶네요|PURPOSE O O 
꽃구경 어디지|PURPOSE O 
장미꽃 보고 싶어|PURPOSE O O 
갈만한 콘서트장 있나|O PURPOSE O 
4월 축제 갈래|DATE PURPOSE O 
유명한 물놀이 있지|O PURPOSE O 
여행지 있지 않을까요|O O O 
갈만한 바다 여행지 부탁드려요|O PURPOSE O O 
가까운 단풍놀이 여행지 추천해주길 바래|O PURPOSE O O O 
사람들이 원하는 여행지|O O O 
주변 높지 않은 산 추천해 줘|O O O PURPOSE O O 
계곡 여행지 보고 싶어|PURPOSE O O O 
괜찮은 사찰 여행지 있나요|O PURPOSE O O 
여행지 어디 가면 좋을까|O O O O 
가까운 단풍놀이 여행지 보여주길 바래|O PURPOSE O O O 
어느 여행지 가야 잘했다 소문 날까|O O O O O O 
가까운 바다 있니|O PURPOSE O 
괜찮은 숲 알려줘|O PURPOSE O 
갈만한 단풍 여행지 보고싶어요|O PURPOSE O O 
연인 갈법한 여행지|O O O 
계곡 어디가 좋니|PURPOSE O O 
갈만한 꽃놀이 있어|O PURPOSE O 
어디로 여행지 갈 건가|O O O O 
배 타고 싶어요|PURPOSE O O 
가까운 바다 여행지 있어|O PURPOSE O O 
꽃구경 해보는 것 어때|PURPOSE O O O 
튤립 핀 곳 있어|PURPOSE O O O 
여행지 추천해 줘|O O O 
깨끗한 바다 없나|O PURPOSE O 
예쁜 바다 여행지 알려주세요|O PURPOSE O O 
동물원 여행지 있어|PURPOSE O O 
어린이 좋아하는 여행지|O O O 
겨울 등산할만한 산 어디 있어|DATE O PURPOSE O O 
분위기 좋은 카페|O O PURPOSE 
수영 하고 싶어|PURPOSE O O 
가까운 수목원 어디인지 모르겠어요|O PURPOSE O O 
어디서 꽃구경 해|O PURPOSE O 
냉동실 같은 계곡|O O PURPOSE 
템플스테이 할래|PURPOSE O 
봄꽃 축제 갈만한 곳 있어|PURPOSE PURPOSE O O O 
가까운 놀이동산 여행지 부탁해요|O PURPOSE O O 
가까운 바다 여행지 추천해 봐요|O PURPOSE O O O 
식물원 여행지 있을까|PURPOSE O O 
워터파크 괜찮은 곳|PURPOSE O O 
단풍 놀이 가고 싶어|PURPOSE PURPOSE O O 
더운데 계곡 갈까|O PURPOSE O 
혼자 등산 할래|O PURPOSE O 
여행지 추천해 주지 않을래|O O O O 
산책로 구경시켜주지 않을래|PURPOSE O O 
템플스테이 가능한가요|PURPOSE O 
유명한 단풍 여행지|O PURPOSE O 
가까운 템플스테이 여행지 갈래요|O PURPOSE O O 
경기장 어떤가요|PURPOSE O 
가까운 사찰 여행지 알려줬으면 해요|O PURPOSE O O O 
괜찮은 여행지 몰라서 문제네|O O O O 
자전거 탈래|PURPOSE O 
전시관 여행지 어디니|PURPOSE O O 
괜찮은 워터파크|O PURPOSE 
축제 열리는 곳 있니|PURPOSE O O O 
꽃구경 하러 갈 것 같아|PURPOSE O O O O 
물놀이 하고 싶은데 괜찮은 곳 있나|PURPOSE O O O O O 
물놀이 여행 어디가 좋을까|PURPOSE O O O 
가까운 스키장 여행지 어딜까요|O PURPOSE O O 
사찰 어때|PURPOSE O 
즐길만한 축제 알려줘|O PURPOSE O 
혼자 놀이동산 갈래|O PURPOSE O 
유명한 사찰 여행지 추천 원해요|O PURPOSE O O O 
가까운 단풍놀이 여행지 보여줬으면 해|O PURPOSE O O O 
단풍놀이 원해요|PURPOSE O 
당신이라면 어디 여행지 갈거야|O O O O 
놀이공원 여행지 있어|PURPOSE O O 
유명한 계곡 여행지 있어요|O PURPOSE O O 
쉬고 싶은데 갈만한 여행지 있을까|O O O O O 
유명한 경기장 여행지 알려줘|O PURPOSE O O 
꽃놀이 가고 싶어요|PURPOSE O O 
유명한 수영장 있나|O PURPOSE O 
공기좋은 등산로|O PURPOSE 
가까운 산 여행지 궁금해요|O PURPOSE O O 
여행지 어디 있냐|O O O 
가까운 템플스테이 여행지 알려주면 좋겠어요|O PURPOSE O O O 
갈만한 산책로 있지 않아요|O PURPOSE O O 
유명한 사찰 여행지 추천 원해|O PURPOSE O O O 
계곡 보고 싶어|PURPOSE O O 
벚꽃 축제 보러 갈래|PURPOSE PURPOSE O O 
유명한 스키장 가고 싶어|O PURPOSE O O 
유명한 절 원해요|O PURPOSE 
템플스테이 추천 필요해요|PURPOSE O O 
꽃놀이 어디서 해|PURPOSE O O 
괜찮은 스키장 갈래|O PURPOSE O 
깨끗한 바다 여행지 어디|O PURPOSE O O 
놀이공원 괜찮은가요|PURPOSE O 
등산로 보여줘라|PURPOSE O 
꽃구경 갈래요|PURPOSE O 
가까운 바다 여행지 알려줘 봐|O PURPOSE O O O 
유명한 야구 여행지 보여줘 봐요|O PURPOSE O O O 
등산 갈래|PURPOSE O 
노래 듣고 싶어|PURPOSE O O 
멋진 박물관 보여줘|O PURPOSE O 
여행지 있는지 고민이네|O O O 
야구장 알려줘|PURPOSE O 
유명한 절 여행지 원해요|O PURPOSE O O 
나만 알고 싶은 산림 여행지|O O O PURPOSE O 
가까운 단풍 여행지 추천해주면 좋겠어|O PURPOSE O O O 
나룻배 타고 싶어|PURPOSE O O 
가까운 바다 여행지 있죠|O PURPOSE O O 
동물원 여행지 추천해 봐요|PURPOSE O O O 
여행지 뭐 있어|O O O 
스트레스 풀릴 여행지|O O O 
사랑 받는 템플스테이|O O PURPOSE 
주변 산책 갈만한 데 있어|O PURPOSE O O O 
바다 여행지 알려줘|PURPOSE O O 
