question|entity
가까운 계곡 추천 좀 해줘 봐|O PURPOSE O O O O 
꽃놀이 정보 알려줘|PURPOSE O O 
여행지 알려달라고|O O 
단풍 놀이 여행지 어디|PURPOSE PURPOSE O O 
꽃놀이 보고 싶어요|PURPOSE O O 
가벼운 산책로|O PURPOSE 
유명한 스키장|O PURPOSE 
어디 여행지 가는게 좋을까|O O O O 
전통놀이 배우려면 어떻게 해야돼|PURPOSE O O O 
맑은 계곡|O PURPOSE 
여행지 어디 갈 데 있어|O O O O O 
좋은 전시관|O PURPOSE 
재밌는 축제 원해|O PURPOSE O 
식물원 가고 싶은데 갈만한 곳 있어|PURPOSE O O O O O 
여행지 알려줘라|O O 
가까운 단풍 여행지 보여주면 좋겠어|O PURPOSE O O O 
많이 찾는 단풍놀이 구경|O O PURPOSE 
템플스테이 여행지 어떨 것 같아|PURPOSE O O O O 
가볼법한 여행지 보여줘요|O O O 
가까운 사찰 여행지 보여줬으면 해요|O PURPOSE O O O 
축제 갈만한 곳 있어|PURPOSE O O O 
꽃구경 어때요|PURPOSE O 
문학관 여행지 궁금해요|PURPOSE O O 
가봄직한 여행지 있을까요|O O O 
거리상 짧은 여행지|O O O 
풍경 좋은 산 있니|O O PURPOSE O 
배드민턴장 추천해 줘요|PURPOSE O O 
유명한 박물관 여행지 있냐|O PURPOSE O 
가까운 스키장 여행지 갈래|O PURPOSE O O 
놀이동산 여행지 있지|PURPOSE O O 
유명한 놀이공원 있죠|O PURPOSE O 
소풍 가고 싶은데 갈만한 여행지 띄워줘|PURPOSE O O O O O 
여행지 추천해 달라고요|O O O 
유명한 깨끗한 바다 여행지 어디 있을까|O O PURPOSE O O O 
축구장 어딨을까|PURPOSE O 
동물원 보여줘 봐|PURPOSE O O 
가까운 동물원 여행지 어디 가야 하지|O PURPOSE O O O O 
가까운 바다 여행지 보여줘 봐|O PURPOSE O O O 
여행지 어딨냐|O O 
공기가 상쾌한 여행지 보여주세요|O O O O 
유명한 스키장 어디 있어|O PURPOSE O O 
유명한 축구 여행지 추천해 봐|O PURPOSE O O O 
봄 풍경 예쁜 산 추천해 줘|DATE O O PURPOSE O O 
가까운 축구 여행지 조사하고 싶어|O PURPOSE O O O 
단풍놀이 가보고 싶은데|PURPOSE O O 
혼자 꽃구경 하고 싶어|O PURPOSE O O 
유명한 물놀이 있어|O PURPOSE O 
가까운 야구장 여행지 알고 싶어요|O PURPOSE O O O 
단풍구경 갈래|PURPOSE O 
사찰 여행지 가보고 싶어요|PURPOSE O O O 
가까운 동물원 여행지 어디 가야 할까요|O PURPOSE O O O O 
가까운 스키 여행지 어딘가요|O PURPOSE O O 
경기장 어디 있니|PURPOSE O O 
벚꽃 축제 가봐야 하는데|PURPOSE PURPOSE O O 
가봐야 하는 꽃놀이 여행지 알려주세요|O O PURPOSE O O 
갈만한 절 있을까|O PURPOSES O 
갈만한 바다 여행지 부탁합니다|O PURPOSE O O 
박물관 여행지 갈 데 없나요|PURPOSE O O O O 
템플스테이 원한다|PURPOSE O 
가까운 스키 여행지 어디죠|O PURPOSE O O 
휴식 취할만한 관광지 어딨니|PURPOSE O O O 
여행지 띄워주었음 좋겠어|O O O 
비 오면 바다 여행 힘들텐데|O O PURPOSE O O 
템플스테이 조사하고 싶네요|PURPOSE O O 
생각없이 갈만한 놀이동산 알려주세요|O O PURPOSE O 
단풍놀이 원해|PURPOSE O 
테니스장 알고 싶네요|PURPOSE O O 
추천할만한 놀이공원|O PURPOSE 
놀이공원 여행지 추천 부탁해요|PURPOSE O O O 
경기장 없을까|PURPOSE O 
즐길만한 여행지 가고 싶어|O O O O 
가까운 식물원 어디 가야 할지 모르겠어요|O PURPOSE O O O O 
혹시 미술관 여행지 있니|O PURPOSE O O 
성지순례 여행지|O O 
배구장 가고 싶네|PURPOSE O O 
갈만한 등산 여행지 알고 싶어요|O PURPOSE O O 
머리 식힐만한 여행지 없나|O O O 
동물원 여행지 알려줘 봐요|PURPOSE O O O 
등산해보고 싶은데 갈만한 곳|PURPOSE O O O 
유명한 산|O PURPOSE 
가볼 만한 놀이공원 알려줘|O O PURPOSE O 
꽃구경 장소 알려주세요|PURPOSE O O 
자주 갈법한 여행지 알려줘|O O O O 
괜찮은 산책로|O PURPOSE 
추천할만한 야구 여행지|O PURPOSE O 
여행지 띄워줘|O O 
물놀이 원해 갈만한 곳|PURPOSE O O O 
식물원 알려줘 봐|PURPOSE O O 
산 여행지|PURPOSE O 
여행지 알려주지 않을래|O O O 
단풍놀이 여행지 갈래|PURPOSE O O 
단풍놀이 여행지 모두 알려주세요|PURPOSE O O O 
바다구경 어딜 가야 잘했다 할까|PURPOSE O O O O 
괜찮은 바다 여행지 추천해 줘|O PURPOSE O O O 
갈만한 꽃놀이 여행지 구경하고 싶다|O PURPOSE O O O 
가까운 여행지 추천해 줘|O O O O 
워터파크 좀 알려줘|PURPOSE O O 
갈만한 여행지 있어야 하는데|O O O O 
단풍 여행지 추천해 주세요|PURPOSE O O O 
인기 좋은 등산로 없나요|O O PURPOSE O 
바다 알고 싶네|PURPOSE O O 
시설 좋은 수영장 있니|O O PURPOSE O 
가까운 절 여행지 추천해 줬으면 해요|O PURPOSE O O O O 
사격장 가고 싶다|PURPOSE O O 
바다 있어요|PURPOSE O 
유명한 물놀이 하는 곳 있어|O PURPOSE O O O 
바다 여행지 알려주세요|PURPOSE O O 
어디 여행지 갈거니|O O O 
많이 찾는 꽃구경|O O PURPOSE 
수영 할만한 곳 있니|PURPOSE O O O 
축구장 여행지|PURPOSE O 
너라면 어디 여행지 갈래|O O O O 
유명한 계곡 여행지 있지|O PURPOSE O O 
재밌는 축제 원해요|O PURPOSE O 
갈만한 등산 여행지 추천받고 싶어요|O PURPOSE O O O 
경기장 구경하고 싶어|PURPOSE O O 
박물관 여행지 갈 데 없나|PURPOSE O O O O 
여행지 몰라서 문젠데|O O O 
갈만한 스키장 여행지 가보고 싶네요|O PURPOSE O O O 
가까운 물놀이 빨리 말해요|O PURPOSE O O 
갈만한 산 말해주세요|O PURPOSE O 
심심한데 산책 장소 있나|O PURPOSE O O 
가까운 등산 갈래|O PURPOSE O 
가볍게 가볼만한 여행지 없을까|O O O O 
축구 여행지 보여줘|PURPOSE O O 
문학관 여행지 추천해 봐|PURPOSE O O O 
꽃 핀 곳 알려줘|PURPOSE O O O 
가까운 스키장 여행지 있나요|O PURPOSE O O 
꽃구경 하고 싶다|PURPOSE O O 
꽃구경 어디 가야 잘했다 할까|PURPOSE O O O O 
가기 좋은 계곡 추천해 줘|O O PURPOSE O O 
분위기 있는 카페|O O PURPOSE 
경기장 어디|PURPOSE O 
꽤 유명한 축제|O O PURPOSE 
유명한 스키장 어디 있죠|O PURPOSE O O 
무서운 놀이동산 있나요|O PURPOSE O 
어디 여행지 추천할래요|O O O 
문학관 여행지 궁금해|PURPOSE O O 
갈만한 스키 여행지 말해주실래요|O PURPOSE O O 
갈만한 스키 여행지 보여주세요|O PURPOSE O O 
여행지 어디 있냐|O O O 
가까운 단풍놀이 여행지 알려주길 바래|O PURPOSE O O O 
여행지 몰라서 문젠데요|O O O 
상쾌한 여행지|O O 
인기많은 여행지|O O 
바다 있나요|PURPOSE O 
갈만한 단풍놀이 여행지 알고 싶은데요|O PURPOSE O O O 
당구장 띄워줘요|PURPOSE O 
가까운 수목원 어디인지 모르겠어|O PURPOSE O O 
바다 보고 싶다고요|PURPOSE O O 
단풍놀이 보고 싶어|PURPOSE O O 
가까운 계곡 추천 좀 해줘 봐요|O PURPOSE O O O O 
놀이동산 있어|PURPOSE O 
스키장 추천해 줘|PURPOSE O O 
좋은 수영장 알려줄래|O PURPOSE O 
추천해 주고 싶은 꽃놀이|O O O PURPOSE 
꽃구경 해보고 싶네|PURPOSE O O 
여행지 띄워주겠니|O O 
시간 가는줄 모르는 공연 있나요|O O O PURPOSE O 
추천해봄직한 여행지 알려줘|O O O 
꽃구경 추천받고 싶네|PURPOSE O O 
가까운 문학관 여행지 가보는 것 어때|O PURPOSE O O O O 
가까운 절 여행지 보여주길 바래요|O PURPOSE O O O 
유명한 박물관 보여줘 봐|O PURPOSE O O 
여행지 띄워주지 않을래|O O O 
갈만한 템플스테이 알고 싶다|O PURPOSE O O 
에어컨처럼 시원한 계곡|O O PURPOSE 
전주 갈만한 곳 있을까|LOCATION O O O 
부산 여행지 추천해줘|LOCATION O O 
서울 어디 갈지 추천해줘|LOCATION O O O 
이번 광주 여행 어디 갈까|O LOCATION O O O 
수원 갈만한 여행지 어디 있을까|LOCATION O O O O 
다음 주 인천 여행 어디 갈지 모르겠어|DATE DATE LOCATION O O O O 
3월 여행 가는데 여행 어디 가는데|DATE O O O O O 
해남 가려는데 어디 추천해줘|LOCATION O O O 
영월 명소 있을까|LOCATION O O 
진짜 유명한 대구 명소 추천 좀|O O LOCATION O O O 
성동구 들려야 하는 명소 어디 있니|LOCATION O O O O O 
강남 구경 할만 한 명소 추천 해주세요|LOCATION O O O O O O 
마포구 관광지 추천 해주라|LOCATION O O O 
용산 관광지 알고싶어|LOCATION O O 
중구 명소 알려주세요|LOCATION O O 
광진구 여행지 알고싶어|LOCATION O O 
4월 갈만한 여행지 추천|DATE O O O 
중구 명소 어디 있니|LOCATION O O O 
강남구 관광지 알려줄래|LOCATION O O 
성동 명소 추천 해주세요|LOCATION O O O 
정말 소문난 명소 알려줘O O O O 
울산 관광지 알려주라|LOCATION O O 
동두천 명소 알려줄래|LOCATION O O 
안산 명소 추천 해줘|LOCATION O O O 
구리 관광지 알려주라|LOCATION O O 
5월 봄 여행지 추천|DATE DATE O O 
다음 주 여행 가는데 여행지 추천|DATE DATE O O O O 
태안군 관광지 추천해줘요|LOCATION O O 
홍성 여행지 보여줘|LOCATION O O 
예산군 관광지 알려줘봐|LOCATION O O 
보령 근처 가볼 만한 관광지 알려줘봐요|LOCATION O O O O O 
쳥양 근처 구경하기 좋은 명소 보여줘|LOCATION O O O O O 
부여군 근처 가볼 만한 곳 없니|LOCATION O O O O O 
미추홀구 좋은데 있니|LOCATION O O 
연수구 가면 어디 갈까|LOCATION O O O 
남동구 갈만한 곳 보여줘|LOCATION O O O 
부평구 유명한 곳 어디 있니|LOCATION O O O O 
계양구 관광지 말씀해 주세요|LOCATION O O O 
건대 근처 유명한 곳 있니|LOCATION O O O O 
가평 좋은 관광지 없나|LOCATION O O O 
의정부 유명한 관광지 없나요|LOCATION O O O 
양주 관광지 궁금해|LOCATION O O 
광주 관광지 궁금해요|LOCATION O O 
6월 관광지 알려주라|DATE O O 
경상북도 관광 할만한 곳 없나|LOCATION O O O O 
이번 주말 오산 여행 어디 좋을까|DATE DATE LOCATION O O O 
태안군 근처 관광지 추천|LOCATION O O O 
봄 관광지 보여줘 봐|DATE O O O 
예산군 관광지 알려줘봐|LOCATION O O 
순창 갈건데 여행지 추천 좀|LOCATION O O O 
아산 명소 추천 해주세요|LOCATION O O O 
용인 관광지 알려주라|LOCATION O O 
중구 명소 어디 있냐|LOCATION O O O 
북구 관광지 추천 해주라|LOCATION O O O 
서울 강남 명소 알려줘|LOCATION LOCATION O O 
중구 명소 추천 해주세요|LOCATION O O O 
중구 관광지 추천 해줘|LOCATION O O O 
성북구 관광지 어디 있냐|LOCATION O O O 
충북 진천 관광지 어디 좋니|LOCATION LOCATION O O O 
풍계리 명소 추천 해주라|LOCATION O O O 
전남 목포 가는데 여행지 알려줘|LOCATION LOCATION O O O 
서초구 관광지 어디 있냐|LOCATION O O O 
강북구 여행지 알려줄래|LOCATION O O 
서울 가까운 명소 어디 있냐|LOCATION O O O O 
춘천 관광 할만 한 명소 추천 해주세요|LOCATION O O O O O O 
전북 무주 갈만한 여행지 있을까|LOCATION LOCATION O O O 
경상도 놀기 좋은 명소 어디 있니|LOCATION O O O O O 
서울 관광할만한 명소 알려줘|LOCATION O O 
전라도 가봐야 하는 명소 알려줘|LOCATION O O O O 
경기도 광주 여행지 추천해줘|LOCATION LOCATION O O 
충청북도 가볼 만한 관광지 알려주세요|LOCATION O O O O 
충청도 가기 좋은 관광지 알려줘|LOCATION O O O O 
경상도 관광해볼 만한 관광지 어디 있냐|LOCATION O O O O O 
서울 들려야 하는 여행지 알려줘|LOCATION O O O O 
전북 임실 여행지 있을까|LOCATION LOCATION O O 
경상북도 들려야 하는 관광지 알려주라|LOCATION O O O O 
나주 유명한 여행장소 어디 있니|LOCATION O O O O 
전라도 구경할만한 관광지 알려주라|LOCATION O O O 
여름 여행지 관광지 어디 있냐|DATE O O O O 
칠곡 유명한 명소 어디 있냐|LOCATION O O O O 
경상도 들러봐야 하는 명소 어디 있니|LOCATION O O O O O 
청주 꼭 들려야 하는 여행지 추천 해줘|LOCATION O O O O O O 
안암 들러봐야 하는 관광지 알려줘|LOCATION O O O 
경기도 들려야 하는 관광지 알려주세요|LOCATION O O O O 
죽전 꼭 가봐야 하는 관광지 알려주세요|LOCATION O O O O O 
경기 안양 여행지 알려주세요|LOCATION LOCATION O O 
철원 볼 만 한 명소 알고싶어|LOCATION O O O O O 
충북 갈만 한 명소 추천 해줘|LOCATION O O O O O 
충남 가기 좋은 관광지 어디 있니|LOCATION O O O O O 
경상남도 구경 하기 좋은 명소 추천 해주라|LOCATION O O O O O O 
강원도 가기 좋은 관광지 알려주라|LOCATION O O O O 
경주 가까운 관광지 알려주세요|LOCATION O O O 
진짜 꼭 들려야 하는 관광지 알려주라|O O O O O O 
제주도 유명한 관광지 어디 좋을까|LOCATION O O O O 
제주 서귀포 여행 가는데 관광지 추천|LOCATION LOCATION O O O O 
밀양 여행지 갈만한 곳 없을까|LOCATION O O O O 
아마 여행 갈 것 같은데 무주 여행지 추천|O O O O O LOCATION O O 
나 여행 가는데 인천 진짜 좋은 여행지 없을까|O O O LOCATION O O O O 
아마 다음 달 여행 가는데 여행지 있나|O DATE DATE O O O O 
청계천 여행할만한 관광지 알려주라|LOCATION O O O 
구로구 놀만한 명소 추천해 줘|LOCATION O O O O 
강화도 볼만한 명소 추천해 주세요|LOCATION O O O O 
울릉도 갈만한 관광지 알려줄래|LOCATION O O O 
동구 유명한 관광지 알고싶어|LOCATION O O O 
서구 놀기 좋은 관광지 추천 해주라|LOCATION O O O O O 
파주 관광할만한 명소 추천 해주라|LOCATION O O O O 
계룡 근처 한 관광지 알려줘|LOCATION O O O O 
수원 가까운 여행지 추천 해줘|LOCATION O O O O 
평택 들러봐야 하는 명소 알려주라|LOCATION O O O O 
금천구 가기 좋은 명소 알려주세요|LOCATION O O O O 
우도 가볼 만한 관광지 추천해 주라|LOCATION O O O O O 
광명 꼭 들려야 하는 관광지 추천 해주라|LOCATION O O O O O O 
시흥 이번 여행 어디 갈지 추천|LOCATION O O O O O 
아마 보령 여행 갈 것 같은데 어디 갈까|O LOCATION O O O O O O 
다음 달 아마 충남 태안 놀러 가는데 어디 갈까|DATE DATE O LOCATION LOCATION O O O O 
청양 유명한 장소 어디 있니 궁금해|LOCATION O O O O O 
공주 여행 어디 갈까|LOCATION O O O 
전남 영광 제일 유명한 명소 알려줄래|LOCATION LOCATION O O O O 
곡성 어디 여행 갈지 추천해줘|LOCATION O O O O 
영암 주변 진짜 유명한 명소 있을까|LOCATION O O O O O 
용인 관광지 알려주라|LOCATION O O 
중구 명소 어디 있냐|LOCATION O O O 
진도 관광지 추천 해주라|LOCATION O O O 
서울 강동 여행 할만한 장소 있을까|LOCATION LOCATION LOCATION O O O O 
호남 명소 추천 해주세요|LOCATION O O O 
2월 관광지 추천 해줘|DATE O O O 
구례 관광지 어디 있냐|LOCATION O O O 
전남 순천 관광지 어디 좋니|LOCATION LOCATION O O O 
강진 여행지 어디 좋을까}LOCATION O O O 
함흥 좋은데 있니|LOCATION O O 
포천 가면 어디 갈까|LOCATION O O O 
이번 화천 여행 갈 것 같거든 어디 갈까|O LOCATION O O O O O O 
서울 관광지 궁금하네 알려줘|LOCATION O O O 
대구 관광지 알고 싶어|LOCATION O O O 
광주 관광지 나한테 추천 해주겠니|LOCATION O O O O 
대전 관광지 알 수 있을까|LOCATION O O O O 
여수 유명한 놀 곳 있나|LOCATION O O O O 
창녕 여행지 어디 좋아|LOCATION O O O 
연천 볼만한 거 뭐 있냐|LOCATION O O O O 
나 모레 포천 가는데 어디 갈까|O DATE LOCATION O O O 
우리 내일 가평 가는데 어디 좋니|O DATE LOCATION O O O 
나 이번 달 남자친구랑 놀러 가는데 어디 좋아|O DATE DATE O O O O O 
우리 가을 여행 가는데 어디 갈만한 곳 없으려나|O DATE O O O O O 
완산구 뭐 있지 볼만한 거|LOCATION O O O O 
인사동 진짜 좋은 곳 알려주겠니|LOCATION O O O O 
갈만한 여행지 어디 있을까요|O O O O 
모레 부산 가는데 추천해줘|DATE LOCATION O O 
이번 주 여행 가는데 특히 광주 어디 갈까|DATE DATE O O O LOCATION O O 
양구 괜찮은 곳 있니|LOCATION O O O 
양양 이번 가는데 여행지 어디 추천할래|LOCATION O O O O O 
나 모레 포천 가는데 괜찬은 곳 있냐|O DATE LOCATION O O O O 
내일 아마 울진 가거든 어디 좋니|DATE O LOCATION O O O 
문산 갈만한 곳 보여줘|LOCATION O O O 
경상남도 유명한 곳 어디 있니 내일 여행 가거든|LOCATION O O O O DATE O O 
아마 나 모레 여행 갈듯 한데 대덕 어디 갈까|O O DATE O O O LOCATION O O 
송파구 놀만한 명소 어디 있니|LOCATION O O O O 
성동구 들러봐야 하는 명소 추천 해주라|LOCATION O O O O O 
양천구 볼만한 명소 알고싶어|LOCATION O O O 
동대문 꼭 들려야 하는 관광지 있을까 내일 가기 했거든|LOCATION O O O O O DATE O O 
남서울 진짜 좋은 명소 추천 좀 해줘|LOCATION O O O O O 
강북구 꼭 들려야 하는 관광지 알려줄래|LOCATION O O O O O 
중구 볼만한 관광지 알려주라|LOCATION O O O 
오랜만 광주 여행한다 어디 갈지 말해줘|O LOCATION O O O O 
간만 여행 가는데 인천 갈 것 같거든 여행지 추천 좀|O O O LOCATION O O O O O
양천 구경 할만한 명소 알려줄래|LOCATION O O O O 
종로 가기 좋은 명소 알려주세요|LOCATION O O O O 
금천구 들려야 하는 명소 추천 해주라|LOCATION O O O O O 
홍대 근처 구경하기 좋은 관광지 추천 해주라|LOCATION O O O O O O 
이대 근처 구경하기 좋은 명소 알고싶어|LOCATION O O O O O 
건대 꼭 들려야 하는 관광지 알려줘|LOCATION O O O O O 
종로구 놀만한 관광지 어디 있냐|LOCATION O O O O 
평창 관광할만한 명소 알려줘|LOCATION O O O 
완주 가까운 관광지 알려주라|LOCATION O O O 
평택 들려야 하는 명소 어디 있니|LOCATION O O O O O 
강진 구경하기 좋은 명소 어디 있니|LOCATION O O O O O 
고산 구경할만한 장소 있냐|LOCATION O O O 
부평 어디 가야 할지 모르겠어|LOCATION O O O O 
오봉산 관광지 보여줘봐|LOCATION O O 
백운산 관광지 알려줘봐|LOCATION O O 
춘천 근처 진짜 좋은 관광지 알려줘봐요|LOCATION O O O O O 
영양 가볼 만한 명소 보여줘 봐요|LOCATION O O O O O 
내일 나 여행 가 어디 갈까|DATE O O O O O 
여름 진천 관광지 어디 좋니|DATE LOCATION O O O 
모레 명소 추천 해주라|DATE O O O 
내일모레 목포 가는데 여행지 알려줘|DATE LOCATION O O O 
아마 여행 갈 거 같으니까 여행지 추천|O O O O O O O 
나 친구랑 모레 놀러 가는데 서울 여행지 어디 추천|O O DATE O O LOCATION O O 
근데 진짜 좋은 여행지 없을까|O O O O O 
그 때 갔던 여행지 추천|O O O O O 
가을 친구랑 아마 놀러 가는데 부산 여행지 어디 추천|DATE O O O O LOCATION O O 
봄 진짜 좋은 여행지 없을까|DATE O O O O 
강원도 갈만한 여행지 추천|LOCATION O O O 
영덕 명소 어디 있니|LOCATION O O O 
겨울 관광지 알려줄래|DATE O O 
서산 명소 추천 해주세요|LOCATION O O O 
서천 소문난 명소 알려줘LOCATION O O O 
이번 관광지 알려주라|O O O 
오늘 명소 알려줄래|DATE O O 
모레 명소 추천 해줘|DATE O O O 
가을 관광지 알려주라|DATE O O 
봄 관광지 추천 해주라|DATE O O O 
여름 강남 명소 알려줘|DATE LOCATION O O 
가을 명소 추천 해주세요|DATE O O O 
겨울 관광지 추천 해줘|DATE O O O 
1월 관광지 어디 있냐|DATE O O O 
2월 진천 관광지 어디 좋니|DATE LOCATION O O O 
3월 명소 추천 해주라|DATE O O O 
4월 목포 가는데 여행지 알려줘|DATE LOCATION O O O 
5월 관광지 어디 있냐|DATE O O O 
6월 오산 관광지 어디 좋니|DATE LOCATION O O O 
7월 좋은 곳 추천 해줘|DATE O O O O 
8월 여행지 어디 있을까요|DATE O O O 
9월 부산 가는데 추천해줘|DATE LOCATION O O 
10월 여행 어디 갈까|DATE O O O 
11월 영광 제일 유명한 명소 알려줄래|DATE LOCATION O O O O 
12월 어디 여행 명소 추천해줘|DATE O O O O 
영월 주변 진짜 유명한 명소 있을까|LOCATION O O O O O 
1월 2일 명소 추천|DATE DATE O O 
2월 8일 관광 명소 추천해줘|DATE DATE O O O 
3월 16일 어디 갈까|DATE DATE O O 
4월 24일 제일 유명한 명소 알려줄래|DATE DATE O O O O 
5월 3일 여행 장소 추천해줘|DATE DATE O O O 
6월 9일 진짜 유명한 명소 있을까|DATE DATE O O O O 
7월 17일 관광 갈 것 같은데 어디 가|DATE DATE O O O O O O 
8월 5일 어디 있냐|DATE DATE O O 
9월 15일 추천 해주라|DATE DATE O O 
10월 29일 관광 할만한 장소 있을까|DATE DATE O O O O 
11월 7일 여행지 추천|DATE DATE O O 
12월 13일 명소 추천|DATE DATE O O 
1월 6일 명소 추천|DATE DATE O O 
2월 18일 관광 명소 추천해줘|DATE DATE O O O 
3월 21일 어디 갈까|DATE DATE O O 
4월 28일 제일 유명한 명소 알려줄래|DATE DATE O O O O 
5월 12일 여행 장소 추천해줘|DATE DATE O O O 
6월 14일 진짜 유명한 명소 있을까|DATE DATE O O O O 
7월 22일 관광 갈 것 같은데 어디 가|DATE DATE O O 
8월 5일 어디 있냐|DATE DATE O O 
9월 26일 추천 해주라|DATE DATE O O 
10월 19일 관광 할만한 장소 있을까|DATE DATE O O O O 
11월 1일 여행지 추천|DATE DATE O O 
12월 3일 명소 추천|DATE DATE O O 
